DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
33.3,0,101.2,84,106.1,87.3,125.7,-4.6,4.6,-4.8,4.8,74358,0.5,19987,4.6,4.8,0,不景気
22.2,0,99,82.5,102.3,87,121,-5.1,5.1,-7.1,7.1,76063,0.5,19988,5.1,7.1,0,不景気
38.9,1,100.6,84.2,103.8,86.8,125.6,-4.7,4.7,-9.3,9.3,77767,0.5,19989,4.7,9.3,1,好景気
11.1,0,100,83.1,104.8,88.1,121.5,-6.5,6.5,-7.3,7.3,75665,0.5,199810,6.5,7.3,0,不景気
55.6,0,99.6,83.7,104.8,85.6,119.2,-3,3,-4.4,4.4,73564,0.5,199811,3,4.4,0,不景気
33.3,0,99.4,83.5,105.9,87.7,119.6,-4.9,4.9,-6.2,6.2,71462,0.5,199812,4.9,6.2,0,不景気
61.1,1,100.6,85.1,108.3,86.4,120.6,-6.2,6.2,-9.7,9.7,73776,0.5,19991,6.2,9.7,1,好景気
66.7,0,100.6,85,104.7,85.8,119.4,-3.9,3.9,-8.2,8.2,76091,0.5,19992,3.9,8.2,0,不景気
72.2,1,102.3,87.1,105.9,86.3,120.2,-3.9,3.9,-7.7,7.7,78405,0.5,19993,3.9,7.7,1,好景気
55.6,0,100.1,86,103.2,86.7,117,-2.3,2.3,-4.9,4.9,79269,0.5,19994,2.3,4.9,0,不景気
88.9,1,102,86.9,107.4,86.4,120.7,-3.5,3.5,-7.1,7.1,80132,0.5,19995,3.5,7.1,1,好景気
38.9,0,101.1,87.1,104.6,85.4,120,-2.2,2.2,-5.4,5.4,80996,0.5,19996,2.2,5.4,0,不景気
72.2,1,101.9,88,104.7,86.8,121.2,-2.6,2.6,-6.7,6.7,84699,0.5,19997,2.6,6.7,1,好景気
83.3,1,102.4,88.6,106.5,88,120.7,-1.7,1.7,-3.7,3.7,88401,0.5,19998,1.7,3.7,1,好景気
88.9,1,103.2,90.2,108,88.8,122.2,-1.9,1.9,-7.4,7.4,92104,0.5,19999,1.9,7.4,1,好景気
77.8,1,103.3,91,108.4,89.1,120.2,-0.4,0.4,-8.5,8.5,93045,0.5,199910,0.4,8.5,1,好景気
77.8,1,104.6,91.9,109.9,89.1,123.3,-3,3,-4.8,4.8,93987,0.5,199911,3,4.8,1,好景気
88.9,0,104.4,91.5,108.8,89.6,120.3,-1.4,1.4,-4.3,4.3,94928,0.5,199912,1.4,4.3,0,不景気
77.8,0,104.4,91.1,107.4,89.3,122.1,-1.7,1.7,-4.6,4.6,98255,0.5,20001,1.7,4.6,0,不景気
50,0,104.1,91.6,109.3,89.1,122.1,0.1,0.1,-1.8,1.8,101581,0.5,20002,0.1,1.8,0,不景気
77.8,1,105.9,92.9,109.9,91.6,124.3,-3.3,3.3,-5.9,5.9,104908,0.5,20003,3.3,5.9,1,好景気
66.7,1,107.3,95.3,115.4,91.5,125.4,-3.3,3.3,-5.6,5.6,104260,0.6,20004,3.3,5.6,1,好景気
77.8,0,106.9,94.9,112.4,92.1,123.5,-2.3,2.3,-1.4,1.4,103612,0.6,20005,2.3,1.4,0,不景気
88.9,1,108.5,95.9,115.2,91.8,128.1,-0.9,0.9,-1.5,1.5,102964,0.6,20006,0.9,1.5,1,好景気
88.9,0,107.9,95.9,112.8,93.1,126.6,-0.4,0.4,-5.2,5.2,104319,0.6,20007,0.4,5.2,0,不景気
100,1,109.4,96.9,114.5,93.4,132.3,-0.9,0.9,-1,1,105674,0.6,20008,0.9,1,1,好景気
33.3,0,107.2,95.1,112.4,94.3,127.9,-1.2,1.2,-5.6,5.6,107029,0.6,20009,1.2,5.6,0,不景気
88.9,1,108.9,96.3,113.1,93.7,130.4,-2.1,2.1,-0.9,0.9,109839,0.6,200010,2.1,0.9,1,好景気
44.4,1,109.3,96.4,113,94.5,130,-0.8,0.8,-1.6,1.6,112650,0.7,200011,0.8,1.6,1,好景気
88.9,1,110.7,96.6,116.6,93.3,132.7,-0.8,0.8,1,1,115460,0.7,200012,0.8,1,1,好景気
33.3,0,106,93,108.7,93.6,128.5,1.4,1.4,-0.1,0.1,110450,0.7,20011,1.4,0.1,0,不景気
33.3,1,107.2,93.5,113.1,92.8,130.1,-0.5,0.5,-3.7,3.7,105440,0.6,20012,0.5,3.7,1,好景気
11.1,0,105.4,91.5,113.7,91.9,125.4,1.7,1.7,-4.3,4.3,100430,0.6,20013,1.7,4.3,0,不景気
11.1,0,104.3,89.7,112.1,90.3,125,-1.2,1.2,-3.2,3.2,99724,0.6,20014,1.2,3.2,0,不景気
11.1,0,102.2,87.7,110.2,89.8,121.7,-1.3,1.3,-3.2,3.2,99019,0.6,20015,1.3,3.2,0,不景気
11.1,0,101,86.9,111,89.8,120.7,-2.1,2.1,-4.2,4.2,98313,0.6,20016,2.1,4.2,0,不景気
0,0,99.4,85.7,111.1,88.4,116.4,-2.6,2.6,-4.9,4.9,93122,0.6,20017,2.6,4.9,0,不景気
11.1,0,98.2,84.8,111.7,87.7,112.7,-3.4,3.4,-6.9,6.9,87930,0.6,20018,3.4,6.9,0,不景気
5.6,0,96.2,83.9,107.8,86.5,110.8,-2.1,2.1,-8.9,8.9,82739,0.6,20019,2.1,8.9,0,不景気
0,0,96.1,82.8,110.5,86.2,109.2,-4.3,4.3,-6.9,6.9,81341,0.5,200110,4.3,6.9,0,不景気
11.1,0,94.5,82.2,104.6,84.9,109,-2.4,2.4,-8.2,8.2,79944,0.5,200111,2.4,8.2,0,不景気
0,1,95.5,83.3,102.7,85.2,110,-5.2,5.2,-9,9,78546,0.5,200112,5.2,9,1,好景気
33.3,0,94.8,83.7,105.9,85.8,107.8,-4.2,4.2,-8.8,8.8,79154,0.5,20021,4.2,8.8,0,不景気
55.6,1,96.3,85.8,108.5,86.4,107.3,-5.9,5.9,-9.1,9.1,79761,0.5,20022,5.9,9.1,1,好景気
77.8,1,97.1,87.4,107.3,87.3,108.2,-4.9,4.9,-10.2,10.2,80369,0.5,20023,4.9,10.2,1,好景気
88.9,0,96.5,89,107.7,89.1,103,-4.1,4.1,-4.8,4.8,82820,0.5,20024,4.1,4.8,0,不景気
100,1,100.7,92.5,114,90.5,110.5,-2.8,2.8,-4.9,4.9,85271,0.5,20025,2.8,4.9,1,好景気
88.9,0,99.6,90.6,109.8,89.8,105.8,-3.1,3.1,-7.3,7.3,87722,0.5,20026,3.1,7.3,0,不景気
77.8,1,100.3,91,110.2,89,105.3,-5.1,5.1,-3.8,3.8,88921,0.5,20027,5.1,3.8,1,好景気
44.4,1,100.6,92.1,112.4,90.6,109,-1.6,1.6,-5.3,5.3,90120,0.6,20028,1.6,5.3,1,好景気
100,1,101.3,92.9,114.1,90.5,109.8,-2.3,2.3,-4.2,4.2,91319,0.6,20029,2.3,4.2,1,好景気
88.9,1,101.4,93.1,113.3,91.7,108,-2.1,2.1,-2.5,2.5,90746,0.6,200210,2.1,2.5,1,好景気
77.8,0,101,92.9,118.7,92.4,107.6,-1.2,1.2,-1.2,1.2,90174,0.6,200211,1.2,1.2,0,不景気
44.4,0,100.9,92.1,113.7,92.5,105.8,-2.2,2.2,-2.6,2.6,89601,0.6,200212,2.2,2.6,0,不景気
83.3,1,101.4,94.9,114.2,93,106.2,-1.3,1.3,-0.5,0.5,90334,0.6,20031,1.3,0.5,1,好景気
83.3,0,101,95,113,93.7,108.2,1,1,0.5,0.5,91066,0.6,20032,1,0.5,0,不景気
88.9,1,101.6,94.8,110.5,93.5,108.1,0.4,0.4,0.5,0.5,91799,0.6,20033,0.4,0.5,1,好景気
50,0,100.3,94,113.4,93,102.1,-1.1,1.1,-0.2,0.2,91883,0.6,20034,1.1,0.2,0,不景気
61.1,1,101.7,95.1,113,94.5,105.1,-0.3,0.3,0.1,0.1,91967,0.6,20035,0.3,0.1,1,好景気
55.6,0,100.9,94.4,113.1,93.8,105.7,-0.1,0.1,1.6,1.6,92051,0.6,20036,0.1,1.6,0,不景気
77.8,1,101.6,95.6,112.2,94.5,105.1,-0.7,0.7,-1.2,1.2,94370,0.6,20037,0.7,1.2,1,好景気
61.1,0,100.3,95.5,113,95.4,105,0.2,0.2,-0.4,0.4,96688,0.7,20038,0.2,0.4,0,不景気
88.9,1,103.2,96.9,116.4,96.3,108.9,0.3,0.3,1.3,1.3,99007,0.7,20039,0.3,1.3,1,好景気
100,1,105,99.6,117.2,96.5,111.8,2.4,2.4,3.9,3.9,102509,0.7,200310,2.4,3.9,1,好景気
77.8,0,104.7,98.9,115.7,96.9,108.6,-1.1,1.1,-2.3,2.3,106010,0.7,200311,1.1,2.3,0,不景気
100,0,104.6,100.1,117.7,97.6,110.1,1.7,1.7,2.9,2.9,109512,0.8,200312,1.7,2.9,0,不景気
88.9,1,106.3,102.2,118.2,97.6,114.2,3.3,3.3,3.5,3.5,111344,0.8,20041,3.3,3.5,1,好景気
100,0,106.1,101.3,116.5,97.6,113,4.1,4.1,2.3,2.3,113177,0.8,20042,4.1,2.3,0,不景気
55.6,0,105.6,100,116.4,98.4,113.1,0.6,0.6,2.1,2.1,115009,0.8,20043,0.6,2.1,0,不景気
55.6,1,107.4,101.9,115.9,97.5,114.6,1.1,1.1,5,5,116920,0.8,20044,1.1,5,1,好景気
77.8,0,107.4,103,117.7,97.9,116.2,-0.4,0.4,-1.2,1.2,118831,0.8,20045,0.4,1.2,0,不景気
77.8,1,107.7,102.9,117.2,97.8,117.1,-0.9,0.9,5.2,5.2,120742,0.8,20046,0.9,5.2,1,好景気
100,1,109,103.3,123.2,98.2,118.6,2.6,2.6,6,6,121545,0.8,20047,2.6,6,1,好景気
72.2,0,107.8,102.3,114.4,98.6,117.1,-0.4,0.4,4.9,4.9,122347,0.8,20048,0.4,4.9,0,不景気
77.8,1,108,102.3,117.5,97.9,117.4,0.7,0.7,1.3,1.3,123150,0.9,20049,0.7,1.3,1,好景気
22.2,0,106.4,101.5,118.2,96.7,115.4,-0.1,0.1,0,0,123413,0.9,200410,0.1,0,0,不景気
66.7,1,107.4,102.5,120.2,97.9,116.2,1.2,1.2,5.1,5.1,123675,0.9,200411,1.2,5.1,1,好景気
33.3,0,106,100.5,116.7,98.2,117.1,-0.5,0.5,1,1,123938,0.9,200412,0.5,1,0,不景気
88.9,1,108.4,102.2,116.5,98.3,117.5,2.6,2.6,0.6,0.6,125981,0.9,20051,2.6,0.6,1,好景気
27.8,0,108.2,101.9,118.6,97.8,114.9,-3,3,-0.4,0.4,128025,0.9,20052,3,0.4,0,不景気
77.8,1,108.6,102.8,118.9,95.6,117.5,-0.2,0.2,-4.1,4.1,130068,0.9,20053,0.2,4.1,1,好景気
66.7,1,109.1,103.5,125.4,98.2,119.5,3.5,3.5,-1.9,1.9,128963,0.9,20054,3.5,1.9,1,好景気
66.7,0,108.4,102.6,118,98.1,116.8,2.6,2.6,-1.7,1.7,127857,0.9,20055,2.6,1.7,0,不景気
88.9,1,108.7,104.4,120.7,98.8,118,2.8,2.8,-3.1,3.1,126752,1,20056,2.8,3.1,1,好景気
22.2,0,107.8,103.4,120.7,98.9,116.9,0.3,0.3,-4.8,4.8,126493,1,20057,0.3,4.8,0,不景気
66.7,1,107.9,103.7,118.9,98.5,120.6,1.3,1.3,0.5,0.5,126233,1,20058,1.3,0.5,1,好景気
61.1,1,108.9,105.5,122.7,97.6,118.5,-0.1,0.1,-3.1,3.1,125974,1,20059,0.1,3.1,1,好景気
77.8,0,108.4,105.7,122.8,98.2,119.2,-0.6,0.6,-1.9,1.9,127193,1,200510,0.6,1.9,0,不景気
66.7,1,110.1,106.1,122,97.8,122.1,0.4,0.4,0.4,0.4,128412,1,200511,0.4,0.4,1,好景気
100,1,110.3,106.2,125.4,100.5,123.5,1.1,1.1,0.9,0.9,129631,1,200512,1.1,0.9,1,好景気
100,1,110.8,106.7,127.3,100.8,120.5,-0.5,0.5,2.9,2.9,130679,1,20061,0.5,2.9,1,好景気
88.9,0,110.7,106.6,126.8,100.5,120.1,1.1,1.1,2.5,2.5,131726,1,20062,1.1,2.5,0,不景気
66.7,1,111.3,107.1,129.9,100.7,120.5,1,1,-0.5,0.5,132774,1.1,20063,1,0.5,1,好景気
66.7,1,113.5,108,135.2,101.5,123.9,-0.9,0.9,0.9,0.9,132642,1.1,20064,0.9,0.9,1,好景気
66.7,0,111.9,106.5,130.8,101.5,122.9,0,0,4.5,4.5,132511,1.1,20065,0,4.5,0,不景気
66.7,1,113.3,108.7,129.2,102,126.2,0.1,0.1,1.7,1.7,132379,1.1,20066,0.1,1.7,1,好景気
77.8,1,113.7,109.5,130.9,101.9,123.7,-0.2,0.2,2.3,2.3,134571,1.1,20067,0.2,2.3,1,好景気
72.2,1,114.1,111,132,101.7,122.4,0.8,0.8,3,3,136762,1.1,20068,0.8,3,1,好景気
61.1,0,114.1,109.9,131.2,101,123.1,0.5,0.5,0,0,138954,1.1,20069,0.5,0,0,不景気
61.1,1,115,110,130.8,101,125.2,-0.2,0.2,4,4,139920,1.1,200610,0.2,4,1,好景気
55.6,1,115.4,110.9,135.4,102.2,124.3,-0.4,0.4,1.1,1.1,140885,1.1,200611,0.4,1.1,1,好景気
66.7,1,115.7,111.4,133.8,102.1,124,-0.3,0.3,-0.8,0.8,141851,1.1,200612,0.3,0.8,1,好景気
50,0,114.4,110.7,134,102.6,124.9,-1,1,-0.3,0.3,144063,1.1,20071,1,0.3,0,不景気
55.6,1,115.1,111,134.1,103.4,126.3,-0.2,0.2,0.2,0.2,146275,1.1,20072,0.2,0.2,1,好景気
33.3,0,115.1,111.5,133.4,103.5,120.1,-0.6,0.6,-2,2,148487,1.1,20073,0.6,2,0,不景気
66.7,0,114.6,111.5,133.6,105.1,123.1,0.1,0.1,2.3,2.3,145653,1.1,20074,0.1,2.3,0,不景気
77.8,1,115.9,112.3,135.4,103.8,124.9,0.8,0.8,4.6,4.6,142819,1.1,20075,0.8,4.6,1,好景気
88.9,1,116,112.6,138.2,104.4,124.4,0.3,0.3,2.8,2.8,139985,1.1,20076,0.3,2.8,1,好景気
44.4,1,116.1,112.8,129.3,103.2,125.6,-1.5,1.5,3.8,3.8,139396,1.1,20077,1.5,3.8,1,好景気
44.4,1,119.1,115.3,147,103.2,124.8,1.2,1.2,2,2,138806,1.1,20078,1.2,2,1,好景気
44.4,0,117.2,114.6,139.8,104.1,122.9,1.2,1.2,0.1,0.1,138217,1,20079,1.2,0.1,0,不景気
66.7,1,119.4,117.3,142.8,103.9,123.1,1.5,1.5,4.6,4.6,136436,1,200710,1.5,4.6,1,好景気
44.4,0,117.7,115.6,142.3,103.9,121.9,2.1,2.1,4,4,134654,1,200711,2.1,4,0,不景気
50,1,118.5,117.2,145.5,103.9,122.9,0.8,0.8,2.4,2.4,132873,1,200712,0.8,2.4,1,好景気
22.2,1,119.1,116.6,147.4,102.9,120.6,1.9,1.9,4.4,4.4,131772,1,20081,1.9,4.4,1,好景気
66.7,1,119.4,116.9,145,106.3,120.5,3.5,3.5,6.4,6.4,130672,1,20082,3.5,6.4,1,好景気
22.2,0,118.3,116.2,144.5,106.3,119.9,1.6,1.6,2,2,129571,1,20083,1.6,2,0,不景気
22.2,0,117.6,113.5,145.2,104.1,118.5,-0.1,0.1,5.6,5.6,128668,1,20084,0.1,5.6,0,不景気
11.1,1,118.2,113.6,142.1,104,123.3,0.3,0.3,4.9,4.9,127766,1,20085,0.3,4.9,1,好景気
11.1,0,114.9,110.4,134.5,102.4,116.5,0.3,0.3,4.9,4.9,126863,0.9,20086,0.3,4.9,0,不景気
22.2,0,114.7,110.5,133.8,101.7,113.9,2.1,2.1,11,11,120592,0.9,20087,2.1,11,0,不景気
11.1,0,110.7,105.9,127.9,100.1,111.5,0.7,0.7,3.3,3.3,114321,0.9,20088,0.7,3.3,0,不景気
0,1,112,106.3,126.8,100,111.3,-0.3,0.3,3.9,3.9,108050,0.8,20089,0.3,3.9,1,好景気
0,0,109.3,102.7,121.4,98.5,110,-0.6,0.6,-1.7,1.7,90548,0.8,200810,0.6,1.7,0,不景気
0,0,102,93.3,113.4,95,103.1,-0.7,0.7,-11.3,11.3,73045,0.8,200811,0.7,11.3,0,不景気
0,0,93.6,83.8,102.1,89.8,98.2,-2.6,2.6,-14.3,14.3,55543,0.7,200812,2.6,14.3,0,不景気
0,0,85.3,74.2,84.7,85.2,94.6,-2,2,-20.3,20.3,43764,0.6,20091,2,20.3,0,不景気
0,0,78,69,81.8,79.3,88.3,-5.4,5.4,-26.7,26.7,31984,0.6,20092,5.4,26.7,0,不景気
0,1,79,71.6,82.5,78,87.3,-3.6,3.6,-29.4,29.4,20205,0.5,20093,3.6,29.4,1,好景気
22.2,1,82.5,76,82.7,80.5,79.6,-2.7,2.7,-28.2,28.2,30647,0.5,20094,2.7,28.2,1,好景気
66.7,1,85.5,79.8,92.6,81.8,78.7,-2.7,2.7,-30.8,30.8,41089,0.5,20095,2.7,30.8,1,好景気
77.8,1,87.1,83.1,96.4,82.2,78,-3,3,-28.9,28.9,51531,0.4,20096,3,28.9,1,好景気
66.7,1,88.3,85.2,95,83.9,76.7,-2.5,2.5,-30.1,30.1,61043,0.4,20097,2.5,30.1,1,好景気
88.9,1,89.6,87,96.6,85.2,80.4,-1.7,1.7,-28.1,28.1,70554,0.4,20098,1.7,28.1,1,好景気
88.9,1,92.6,91,102.6,86.4,81.7,-1.3,1.3,-27.2,27.2,80066,0.4,20099,1.3,27.2,1,好景気
100,1,95,93.5,107.9,88.7,81.8,-1,1,-24.1,24.1,85455,0.4,200910,1,24.1,1,好景気
100,1,97,95.4,112.7,88.7,82.2,-1.2,1.2,-18.1,18.1,90845,0.4,200911,1.2,18.1,1,好景気
100,1,97.8,98,113.3,90.1,84,-0.3,0.3,-13.6,13.6,96234,0.4,200912,0.3,13.6,1,好景気
88.9,1,100.3,102.8,118,92.1,86.6,2,2,-4.8,4.8,96047,0.5,20101,2,4.8,1,好景気
88.9,1,100.7,102.6,120.8,92.5,90.2,3.9,3.9,-1.1,1.1,95860,0.5,20102,3.9,1.1,1,好景気
88.9,1,100.9,103,122.6,93.6,90.8,4.5,4.5,2.8,2.8,95673,0.5,20103,4.5,2.8,1,好景気
88.9,1,102,102,120.6,95.3,91.8,4.6,4.6,4.4,4.4,102284,0.5,20104,4.6,4.4,1,好景気
55.6,0,101.8,102.4,114.7,94.1,88.8,2.8,2.8,1.9,1.9,108896,0.5,20105,2.8,1.9,0,不景気
55.6,0,101,99.7,114.1,93.7,92.2,3.3,3.3,1.7,1.7,115507,0.5,20106,3.3,1.7,0,不景気
44.4,1,102.1,100,112.5,93.9,93.1,4.3,4.3,1.2,1.2,116125,0.5,20107,4.3,1.2,1,好景気
88.9,1,102.5,99.8,116.1,94.6,93.2,4.6,4.6,2.5,2.5,116744,0.5,20108,4.6,2.5,1,好景気
66.7,1,104.1,99.4,118.4,93.5,95.1,1.9,1.9,2.7,2.7,117362,0.6,20109,1.9,2.7,1,好景気
55.6,0,101.2,98.1,114.8,93.3,96.7,0.6,0.6,1.5,1.5,119451,0.6,201010,0.6,1.5,0,不景気
88.9,1,102.8,101.3,118.2,94.8,97.3,2.1,2.1,7.3,7.3,121541,0.6,201011,2.1,7.3,1,好景気
77.8,1,103.4,102.4,118.5,93.6,96.8,-1.9,1.9,6.3,6.3,123630,0.6,201012,1.9,6.3,1,好景気
77.8,1,103.9,104.3,115,94,97,0.3,0.3,5.2,5.2,118947,0.6,20111,0.3,5.2,1,好景気
77.8,1,104.5,105.8,118.6,95.3,101,0.4,0.4,7.8,7.8,114265,0.6,20112,0.4,7.8,1,好景気
11.1,0,87.3,90.7,84.9,92.4,89.9,-8,8,1.5,1.5,109582,0.6,20113,8,1.5,0,不景気
11.1,1,89.2,87.7,65.5,89.6,94.4,-3.9,3.9,-1.3,1.3,102691,0.6,20114,3.9,1.3,1,好景気
0,1,95.3,89.4,80.4,90.2,97,-0.4,0.4,2.4,2.4,95799,0.6,20115,0.4,2.4,1,好景気
83.3,1,99.3,94.1,105.5,92.7,98.5,1.9,1.9,3.8,3.8,88908,0.6,20116,1.9,3.8,1,好景気
100,1,100.5,95.4,109.1,93.8,98,0.9,0.9,2.9,2.9,95498,0.6,20117,0.9,2.9,1,好景気
88.9,1,102.2,97.6,110.2,92.9,98.7,-2.4,2.4,4.9,4.9,102088,0.7,20118,2.4,4.9,1,好景気
66.7,0,101.3,98.2,111.8,94.4,93.7,-1.5,1.5,0.7,0.7,108678,0.7,20119,1.5,0.7,0,不景気
77.8,1,103.1,99.6,117.4,94.9,98.8,1.4,1.4,0.9,0.9,108184,0.7,201110,1.4,0.9,1,好景気
44.4,0,100.9,96.7,106.6,94.2,100.1,-2.3,2.3,-2.2,2.2,107690,0.7,201111,2.3,2.2,0,不景気
77.8,1,102.9,100.3,119.9,95.4,100.3,2.5,2.5,-2.1,2.1,107196,0.7,201112,2.5,2.1,1,好景気
88.9,1,103.3,99.7,124.4,95.5,99.8,1.6,1.6,-3.8,3.8,108516,0.7,20121,1.6,3.8,1,好景気
88.9,0,103.1,101.1,126.6,96.1,97.6,3.1,3.1,-1.3,1.3,109835,0.8,20122,3.1,1.3,0,不景気
83.3,0,102.9,102.4,120,95.8,98.6,9.3,9.3,0.9,0.9,111155,0.8,20123,9.3,0.9,0,不景気
44.4,0,102.4,100,117.1,94.9,97.2,5,5,0.4,0.4,108482,0.8,20124,5,0.4,0,不景気
33.3,0,100.6,98.3,111.4,95.8,100,3,3,2.6,2.6,105808,0.8,20125,3,2.6,0,不景気
11.1,0,99.8,97,105.3,95.2,96.7,-0.2,0.2,-3.6,3.6,103135,0.8,20126,0.2,3.6,0,不景気
22.2,0,99.3,95.6,105.1,93.7,96.1,-1.3,1.3,-4,4,103296,0.8,20127,1.3,4,0,不景気
22.2,0,97.8,95.1,105.7,95,94.2,1.3,1.3,-4.4,4.4,103458,0.8,20128,1.3,4.4,0,不景気
33.3,0,95.7,93.4,97.3,94,93.4,0.4,0.4,-5.1,5.1,103619,0.8,20129,0.4,5.1,0,不景気
33.3,1,96,93.8,95.7,93.2,91.6,-1.2,1.2,-1.8,1.8,102773,0.8,201210,1.2,1.8,1,好景気
16.7,0,95.1,93.3,92.6,93.2,90.7,0.9,0.9,-1.6,1.6,101926,0.8,201211,0.9,1.6,0,不景気
66.7,1,96.4,95.7,99.6,93.8,94.4,0.2,0.2,-2.5,2.5,101080,0.8,201212,0.2,2.5,1,好景気
88.9,0,94.8,95.6,103.1,93.9,91.7,-1.1,1.1,0.1,0.1,104784,0.8,20131,1.1,0.1,0,不景気
88.9,1,96.5,96.8,105.3,94.6,93.4,-2.2,2.2,-1.3,1.3,108487,0.9,20132,2.2,1.3,1,好景気
88.9,1,97.7,98.7,104.6,94.4,97.9,-0.3,0.3,-1.8,1.8,112191,0.9,20133,0.3,1.8,1,好景気
88.9,0,97.7,98.9,106.9,95.6,95.7,-0.2,0.2,-0.1,0.1,113227,0.9,20134,0.2,0.1,0,不景気
100,1,99.3,100.3,105.8,96.7,96.3,0.8,0.8,0.5,0.5,114262,0.9,20135,0.8,0.5,1,好景気
88.9,0,98.2,99.3,108.5,96.7,95.7,1.6,1.6,0.1,0.1,115298,0.9,20136,1.6,0.1,0,不景気
77.8,1,99.8,101.7,106.4,98.4,97.2,-0.3,0.3,2,2,119407,0.9,20137,0.3,2,1,好景気
88.9,1,100,101.6,108.4,99.2,98.7,1.1,1.1,0.4,0.4,123516,1,20138,1.1,0.4,1,好景気
100,1,101,101.7,110.4,98.6,98.5,3,3,2.7,2.7,127625,1,20139,3,2.7,1,好景気
88.9,1,101.2,101.8,110.8,99.4,100.5,2.4,2.4,1.8,1.8,128714,1,201310,2.4,1.8,1,好景気
100,1,101.8,102.7,114.8,100,101.1,4.1,4.1,2.4,2.4,129803,1,201311,4.1,2.4,1,好景気
77.8,0,101.8,102.2,110.2,99.8,101.8,2.5,2.5,2.9,2.9,130892,1,201312,2.5,2.9,0,不景気
100,1,103.8,103.3,113.4,101,108.3,4.4,4.4,4.4,4.4,135966,1,20141,4.4,4.4,1,好景気
55.6,0,102.7,101.9,111.7,100.7,103.9,3.6,3.6,2,2,141039,1.1,20142,3.6,2,0,不景気
94.4,1,104.2,102.2,110.9,102.7,109,11,11,7.5,7.5,146113,1.1,20143,11,7.5,1,好景気
22.2,0,99.6,100.3,109.6,101.7,100.7,-4.3,4.3,-3,3,140045,1.1,20144,4.3,3,0,不景気
22.2,1,101.9,101.7,106.8,101.7,99.8,-0.4,0.4,-1.3,1.3,133977,1.1,20145,0.4,1.3,1,好景気
11.1,0,100.3,99.7,103.5,100.8,100.6,-0.6,0.6,-0.5,0.5,127909,1.1,20146,0.6,0.5,0,不景気
77.8,0,100.1,100.4,101,101,101.7,0.6,0.6,-0.1,0.1,129890,1.1,20147,0.6,0.1,0,不景気
44.4,0,99.5,99.3,99.8,100,100,1.2,1.2,-2.8,2.8,131871,1.1,20148,1.2,2.8,0,不景気
77.8,1,100.7,101.3,102.4,100.1,102.2,2.3,2.3,1.3,1.3,133852,1.1,20149,2.3,1.3,1,好景気
66.7,0,100.4,101.2,98.6,100.7,101.7,1.4,1.4,-0.1,0.1,135486,1.1,201410,1.4,0.1,0,不景気
55.6,0,100.4,100.9,99.3,99.8,101.2,0.5,0.5,-4.1,4.1,137120,1.1,201411,0.5,4.1,0,不景気
33.3,0,99.9,100.9,98.2,101.4,100.4,0.1,0.1,-2,2,138754,1.1,201412,0.1,2,0,不景気
77.8,1,102.9,102.7,100.8,101.8,107.7,-2,2,-3.1,3.1,141282,1.2,20151,2,3.1,1,好景気
55.6,0,99.8,100.8,100.5,100,98.9,-1.7,1.7,-4,4,143810,1.2,20152,1.7,4,0,不景気
33.3,0,99.3,99.6,99.8,100.2,99.9,-9.7,9.7,-7.7,7.7,146338,1.2,20153,9.7,7.7,0,不景気
44.4,1,99.5,100,98,100,100.1,4.9,4.9,1.5,1.5,148594,1.2,20154,4.9,1.5,1,好景気
44.4,0,99.5,99.8,98.5,99.3,100,3,3,-4.1,4.1,150849,1.2,20155,3,4.1,0,不景気
88.9,1,100.4,100.3,99,100.3,101,1,1,1.1,1.1,153105,1.2,20156,1,1.1,1,好景気
44.4,0,100.3,99.5,99.6,99.9,101.2,1.8,1.8,-0.7,0.7,151785,1.2,20157,1.8,0.7,0,不景気
44.4,0,98.6,98.2,98.9,99.7,99.1,0.8,0.8,-0.8,0.8,150465,1.2,20158,0.8,0.8,0,不景気
44.4,1,100.6,101.4,101.9,100.2,100,-0.1,0.1,-2.9,2.9,149145,1.2,20159,0.1,2.9,1,好景気
61.1,1,100.7,101,102.3,100,99.4,1.8,1.8,-1.8,1.8,148935,1.2,201510,1.8,1.8,1,好景気
44.4,0,99.9,99.1,100.7,99.6,97.7,-1.1,1.1,-2.2,2.2,148724,1.3,201511,1.1,2.2,0,不景気
11.1,0,98.5,97.8,99,99.1,96.1,-1.1,1.1,-3.9,3.9,148514,1.3,201512,1.1,3.9,0,不景気
11.1,1,100.1,99.3,101.2,98.4,98.5,-0.2,0.2,-6.2,6.2,147105,1.3,20161,0.2,6.2,1,好景気
33.3,0,99.2,98.9,96.7,98.4,97.8,0.4,0.4,-4,4,145697,1.3,20162,0.4,4,0,不景気
55.6,1,99.7,98.5,98,98.8,97.7,-1,1,-6.8,6.8,144288,1.3,20163,1,6.8,1,好景気
33.3,0,99.3,98.9,98.9,98.5,98.3,-0.9,0.9,-5.3,5.3,143295,1.3,20164,0.9,5.3,0,不景気
22.2,0,98.5,98.2,99.5,97.9,97.2,-2.1,2.1,-6.7,6.7,142301,1.4,20165,2.1,6.7,0,不景気
44.4,1,99.2,99.3,98.3,98.7,97.8,-1.3,1.3,-7.3,7.3,141308,1.4,20166,1.3,7.3,1,好景気
