DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
88.9,1,86.1,66.2,87.6,111.7,95.1,5.5,5.5,5.4,5.4,72735,0.7,19851,5.5,5.4,1,好景気
61.1,0,86.1,65.5,86.3,111.5,96.1,0.9,0.9,3.2,3.2,73458,0.7,19852,0.9,3.2,0,不景気
72.2,0,85.3,65.6,87.7,112.6,95,2.6,2.6,5.5,5.5,74181,0.7,19853,2.6,5.5,0,不景気
55.6,1,86.6,66,91.4,114.5,96.3,1.1,1.1,3.1,3.1,73468,0.7,19854,1.1,3.1,1,好景気
72.2,1,87.6,66.2,89,113.9,97.9,2,2,2.3,2.3,72756,0.7,19855,2,2.3,1,好景気
66.7,0,86.1,64.8,88.9,114.9,95.7,3.7,3.7,2,2,72043,0.7,19856,3.7,2,0,不景気
50,1,87.4,65.3,92.3,113.3,98.4,5.4,5.4,2.1,2.1,71867,0.7,19857,5.4,2.1,1,好景気
33.3,0,86.5,64.4,93.7,111.9,98,4.9,4.9,2.1,2.1,71690,0.7,19858,4.9,2.1,0,不景気
33.3,0,85.7,64.1,94.1,112.1,97.7,2.9,2.9,5.1,5.1,71514,0.7,19859,2.9,5.1,0,不景気
22.2,1,86.6,64.4,96.5,111.9,97.7,4.9,4.9,3.8,3.8,70265,0.7,198510,4.9,3.8,1,好景気
44.4,0,86.5,63.9,96.7,111.9,100.7,3.5,3.5,2.2,2.2,69016,0.7,198511,3.5,2.2,0,不景気
44.4,0,86.4,63.5,96.6,110.4,98.4,5.2,5.2,0.8,0.8,67767,0.7,198512,5.2,0.8,0,不景気
38.9,0,86.4,64.6,95.1,112,97.5,2.9,2.9,0.3,0.3,67785,0.7,19861,2.9,0.3,0,不景気
44.4,0,86.3,64.6,95.1,112.3,97.1,3.8,3.8,-3.4,3.4,67803,0.7,19862,3.8,3.4,0,不景気
44.4,0,86.2,64.1,93.2,110.9,99,2.9,2.9,-2.6,2.6,67821,0.7,19863,2.9,2.6,0,不景気
33.3,0,86.2,64.7,96.3,111,97.3,5.5,5.5,-2.8,2.8,66906,0.6,19864,5.5,2.8,0,不景気
33.3,0,86.1,64.7,96,110.4,97.3,1.7,1.7,-5.9,5.9,65991,0.6,19865,1.7,5.9,0,不景気
44.4,1,86.5,65,95.8,109.5,99.3,2.6,2.6,-5.7,5.7,65076,0.6,19866,2.6,5.7,1,好景気
38.9,1,86.6,65.2,94.5,107.9,97.3,-0.1,0.1,-7.6,7.6,65152,0.6,19867,0.1,7.6,1,好景気
33.3,0,84.4,63.9,92.9,108.7,97.4,3,3,-8.9,8.9,65228,0.6,19868,3,8.9,0,不景気
66.7,1,87.4,65.8,94.3,107.9,100,1.5,1.5,-4.9,4.9,65304,0.6,19869,1.5,4.9,1,好景気
55.6,0,86.1,65.5,94.1,107.8,97.2,1.5,1.5,-4.6,4.6,66593,0.6,198610,1.5,4.6,0,不景気
61.1,0,84.9,64.7,89.7,107.6,97.9,0.4,0.4,-5.3,5.3,67883,0.6,198611,0.4,5.3,0,不景気
